--- About the graph ---
Total of vertices (all kinds): 1990
Hypothetic vertices: 378 / 1990 (18.994975%)
Subnet vertices: 979 / 1990 (49.195980%)
Known subnet vertices: 601 / 979 (61.389173%)

--- Subnet mappings ---
S1 = 206.82.130.64/26
S2 = 64.86.92.22/31
S3 = 64.86.79.120/31
S4 = 66.110.80.16/29
S5 = 64.86.113.4/30
S6 = 63.243.236.4/30
S7 = 66.198.154.128/30
S8 = 66.198.154.204/30
S9 = 66.198.155.16/29
S10 = 66.198.155.144/28
S11 = 216.6.87.0/30
S12 = 63.243.216.20/31
S13 = 64.86.85.0/30
S14 = 66.198.154.124/30
S15 = 216.6.87.64/27
S16 = 216.6.87.32/28
S17 = 66.110.40.224/30
S18 = 66.110.40.228/31
S19 = 66.198.111.174/31
S20 = 66.198.111.200/31
S21 = 80.231.200.8/29
S22 = 216.6.57.4/30
S23 = 66.198.111.140/30
S24 = 80.231.200.52/30
S25 = 80.231.200.108/30
S26 = 195.219.167.76/30
S27 = 80.231.217.0/27
S28 = 195.219.226.66/31
S29 = 80.231.20.18/31
S30 = 80.231.200.160/30
S31 = 80.231.165.98/31
S32 = 80.231.217.168/29
S33 = 180.87.38.124/30
S34 = 180.87.38.34/31
S35 = 41.206.178.2/32
S36 = 5.23.21.2/31
S37 = 195.219.167.106/31
S38 = 66.198.70.66/31
S39 = 66.198.70.92/31
S40 = 216.6.57.96/31
S41 = 80.231.130.24/30
S42 = 66.198.70.16/28
S43 = 80.231.200.84/30
S44 = 195.219.144.164/30
S45 = 195.219.167.14/31
S46 = 80.231.154.140/30
S47 = 80.231.131.0/30
S48 = 80.231.130.132/30
S49 = 180.87.39.16/29
S50 = 80.231.130.108/31
S51 = 195.219.81.16/31
S52 = 80.231.130.110/31
S53 = 80.231.130.62/31
S54 = 80.231.139.40/29
S55 = 80.231.130.136/29
S56 = 80.231.130.112/28
S57 = 80.231.154.108/30
S58 = 195.219.87.42/31
S59 = 80.231.153.48/30
S60 = 80.231.154.208/29
S61 = 195.219.224.72/29
S62 = 80.231.154.172/30
S63 = 195.219.166.16/30
S64 = 80.231.111.20/30
S65 = 80.231.71.180/30
S66 = 195.219.87.28/31
S67 = 195.219.87.96/30
S68 = 195.219.87.104/31
S69 = 195.219.87.151/32
S70 = 195.219.87.160/27
S71 = 195.219.156.73/32
S72 = 195.219.156.134/31
S73 = 195.219.87.44/30
S74 = 195.219.87.0/28
S75 = 195.219.87.20/30
S76 = 195.219.87.30/31
S77 = 5.23.30.22/31
S78 = 5.23.30.66/31
S79 = 195.219.50.0/28
S80 = 195.219.156.0/28
S81 = 195.219.156.32/30
S82 = 195.219.183.0/27
S83 = 195.219.148.104/30
S84 = 195.219.134.72/30
S85 = 5.23.30.68/31
S86 = 195.219.156.114/32
S87 = 80.231.163.0/30
S88 = 80.231.163.4/30
S89 = 195.219.25.36/30
S90 = 80.231.153.28/30
S91 = 80.231.153.84/30
S92 = 80.231.153.116/30
S93 = 80.231.153.224/30
S94 = 195.219.241.32/29
S95 = 195.219.241.42/31
S96 = 195.219.241.172/30
S97 = 80.231.153.21/32
S98 = 195.219.241.8/30
S99 = 80.231.153.176/29
S100 = 80.231.153.232/29
S101 = 80.231.245.6/31
S102 = 195.219.50.120/29
S103 = 195.219.50.164/30
S104 = 195.219.50.232/29
S105 = 195.219.50.128/29
S106 = 195.219.50.21/32
S107 = 195.219.50.172/30
S108 = 195.219.50.60/30
S109 = 80.231.14.72/31
S110 = 195.219.50.184/30
S111 = 195.219.219.0/30
S112 = 195.219.50.56/31
S113 = 5.23.6.8/29
S114 = 80.231.12.24/29
S115 = 80.231.14.74/31
S116 = 80.231.15.130/31
S117 = 195.219.148.4/30
S118 = 195.219.148.130/31
S119 = 195.219.183.112/29
S120 = 195.219.183.150/31
S121 = 195.219.39.0/27
S122 = 195.219.60.32/29
S123 = 195.219.156.56/29
S124 = 80.231.63.108/30
S125 = 80.231.63.130/31
S126 = 80.231.63.224/29
S127 = 80.231.71.40/31
S128 = 80.231.71.142/31
S129 = 80.231.63.56/30
S130 = 195.219.163.62/31
S131 = 195.219.163.0/30
S132 = 80.231.14.8/30
S133 = 195.219.224.16/31
S134 = 195.219.224.24/29
S135 = 195.219.224.160/27
S136 = 195.219.224.236/30
S137 = 80.231.8.88/30
S138 = 80.231.14.236/31
S139 = 80.231.15.134/31
S140 = 80.231.71.46/31
S141 = 80.231.123.0/26
S142 = 80.231.154.160/30
S143 = 80.231.14.1/32
S144 = 80.231.14.244/31
S145 = 195.219.166.68/31
S146 = 195.219.166.70/31
S147 = 195.219.166.124/31
S148 = 80.231.14.14/31
S149 = 80.231.14.111/32
S150 = 80.231.14.192/31
S151 = 80.231.15.140/31
S152 = 80.231.15.146/31
S153 = 195.219.40.0/30
S154 = 80.231.131.44/30
S155 = 80.231.131.56/30
S156 = 80.231.131.204/30
S157 = 80.231.131.160/31
S158 = 180.87.126.8/29
S159 = 80.231.131.12/30
S160 = 195.219.142.56/31
S161 = 80.231.71.6/31
S162 = 80.231.152.72/31
S163 = 195.219.194.4/30
S164 = 80.231.152.34/31
S165 = 195.219.188.24/29
S166 = 80.231.152.24/30
S167 = 80.231.152.20/30
S168 = 80.231.50.12/30
S169 = 195.219.194.32/31
S170 = 195.219.194.56/30
S171 = 195.219.194.219/32
S172 = 80.231.89.36/30
S173 = 80.231.71.240/31
S174 = 80.231.124.12/30
S175 = 195.219.246.68/30
S176 = 195.219.246.76/31
S177 = 80.231.77.16/30
S178 = 80.231.205.4/30
S179 = 195.219.131.0/24
S180 = 116.0.66.72/29
S181 = 116.0.66.116/30
S182 = 180.87.140.16/30
S183 = 180.87.140.46/31
S184 = 180.87.126.4/30
S185 = 180.87.191.56/30
S186 = 180.87.141.64/28
S187 = 80.231.12.128/30
S188 = 80.231.48.44/31
S189 = 80.231.48.60/31
S190 = 80.231.48.134/31
S191 = 80.231.71.51/32
S192 = 195.219.142.22/31
S193 = 80.231.12.52/30
S194 = 80.231.71.44/31
S195 = 80.231.71.166/31
S196 = 80.231.71.186/31
S197 = 80.231.130.56/30
S198 = 80.231.199.56/30
S199 = 80.231.199.144/30
S200 = 80.231.199.148/30
S201 = 80.231.199.152/29
S202 = 80.231.229.8/30
S203 = 80.231.229.32/28
S204 = 80.231.229.128/28
S205 = 195.219.40.18/31
S206 = 80.231.229.66/31
S207 = 80.231.199.132/30
S208 = 80.231.230.192/28
S209 = 180.87.39.28/31
S210 = 180.87.38.0/30
S211 = 180.87.37.8/30
S212 = 180.87.39.4/30
S213 = 180.87.37.68/31
S214 = 180.87.36.4/30
S215 = 180.87.36.22/31
S216 = 180.87.36.48/30
S217 = 180.87.36.100/31
S218 = 180.87.88.24/30
S219 = 120.29.197.83/32
S220 = 180.87.88.92/30
S221 = 180.87.176.4/31
S222 = 116.0.85.24/30
S223 = 41.206.179.32/31
S224 = 116.0.85.34/31
S225 = 216.6.55.84/31
S226 = 216.6.59.12/30
S227 = 195.219.9.8/30
S228 = 195.219.9.32/30
S229 = 195.219.9.80/28
S230 = 195.219.81.0/29
S231 = 195.219.81.56/30
S232 = 195.219.81.112/30
S233 = 195.219.10.4/31
S234 = 195.219.81.117/32
S235 = 195.219.81.64/27
S236 = 195.219.10.8/29
S237 = 195.219.10.52/30
S238 = 195.219.81.12/30
S239 = 195.219.101.44/30
S240 = 195.219.101.40/30
S241 = 80.231.134.204/30
S242 = 195.219.251.0/25
S243 = 195.219.250.68/30
S244 = 195.219.250.100/30
S245 = 138.104.226.0/29
S246 = 64.86.232.192/31
S247 = 64.86.232.200/30
S248 = 64.86.232.208/30
S249 = 80.231.139.24/29
S250 = 80.231.139.80/29
S251 = 80.231.139.0/30
S252 = 80.231.139.64/30
S253 = 80.231.14.132/31
S254 = 80.231.15.240/31
S255 = 80.231.138.44/30
S256 = 80.231.138.52/30
S257 = 195.219.129.12/30
S258 = 80.231.158.24/29
S259 = 80.231.138.12/31
S260 = 80.231.158.134/31
S261 = 80.231.158.4/30
S262 = 80.231.159.128/30
S263 = 80.231.159.12/31
S264 = 80.231.0.24/30
S265 = 80.231.0.192/30
S266 = 80.231.13.234/31
S267 = 80.231.91.104/30
S268 = 80.231.157.32/30
S269 = 80.231.91.12/30
