--- About the graph ---
Total of vertices (all kinds): 1082
Hypothetic vertices: 65 / 1082 (6.007394%)
Subnet vertices: 519 / 1082 (47.966728%)
Known subnet vertices: 454 / 519 (87.475915%)

--- Subnet mappings ---
S1 = 62.1.110.216/30
S2 = 62.1.110.152/30
S3 = 194.219.199.102/31
S4 = 194.219.199.104/30
S5 = 194.219.253.212/30
S6 = 213.16.250.64/30
S7 = 213.16.252.82/31
S8 = 194.219.199.246/31
S9 = 212.251.94.56/30
S10 = 62.1.110.220/30
S11 = 213.16.247.100/30
S12 = 194.219.199.116/30
S13 = 213.16.250.68/30
S14 = 194.219.253.216/30
S15 = 194.219.208.100/30
S16 = 62.1.110.124/30
S17 = 62.1.117.28/30
S18 = 194.219.199.44/30
S19 = 194.219.199.120/30
S20 = 194.219.199.140/30
S21 = 194.219.199.156/30
S22 = 194.219.199.232/30
S23 = 194.219.199.236/30
S24 = 194.219.242.128/26
S25 = 194.219.253.52/30
S26 = 212.251.94.72/30
S27 = 212.251.94.124/30
S28 = 212.251.94.128/30
S29 = 213.16.247.124/30
S30 = 213.16.247.136/30
S31 = 213.16.247.176/30
S32 = 213.16.247.204/30
S33 = 213.16.250.28/30
S34 = 213.16.250.72/30
S35 = 213.16.250.172/30
S36 = 213.16.250.176/30
S37 = 213.16.252.232/30
S38 = 213.16.250.40/30
S39 = 62.1.110.176/30
S40 = 62.1.110.80/30
S41 = 62.1.117.32/30
S42 = 213.16.252.144/29
S43 = 212.251.94.164/30
S44 = 212.251.94.132/30
S45 = 213.16.252.168/30
S46 = 213.16.252.192/30
S47 = 62.1.110.200/30
S48 = 62.1.110.204/30
S49 = 194.219.227.128/27
S50 = 213.16.252.184/30
S51 = 212.251.94.176/30
S52 = 213.16.252.224/30
S53 = 194.219.199.176/30
S54 = 194.219.199.180/30
S55 = 213.16.250.152/30
S56 = 213.16.247.56/30
S57 = 62.1.116.96/27
S58 = 62.1.116.148/30
S59 = 193.92.25.232/30
S60 = 193.92.25.252/30
S61 = 193.92.38.64/27
S62 = 193.92.42.12/30
S63 = 193.92.42.68/30
S64 = 193.92.42.104/30
S65 = 193.92.48.8/30
S66 = 193.92.48.28/30
S67 = 193.92.48.164/30
S68 = 193.92.48.176/28
S69 = 193.92.48.192/28
S70 = 193.92.48.216/30
S71 = 193.92.87.64/29
S72 = 193.92.87.216/30
S73 = 193.92.91.48/30
S74 = 193.92.103.16/30
S75 = 193.92.103.172/30
S76 = 193.92.103.232/29
S77 = 193.92.103.244/30
S78 = 193.92.130.0/29
S79 = 193.92.130.12/30
S80 = 193.92.130.180/30
S81 = 193.92.130.216/30
S82 = 193.92.130.224/30
S83 = 193.92.133.236/30
S84 = 193.92.163.0/30
S85 = 193.92.163.40/30
S86 = 193.92.163.124/30
S87 = 193.92.163.216/30
S88 = 193.92.164.32/27
S89 = 193.92.164.240/30
S90 = 194.219.3.160/28
S91 = 194.219.3.184/30
S92 = 194.219.6.56/30
S93 = 194.219.6.84/30
S94 = 194.219.6.112/30
S95 = 194.219.6.120/30
S96 = 194.219.6.128/30
S97 = 194.219.6.192/30
S98 = 194.219.6.216/30
S99 = 194.219.53.248/30
S100 = 194.219.56.156/30
S101 = 194.219.58.200/30
S102 = 194.219.71.44/30
S103 = 194.219.115.244/30
S104 = 194.219.134.236/30
S105 = 194.219.136.12/30
S106 = 194.219.136.32/29
S107 = 194.219.136.136/30
S108 = 194.219.136.188/30
S109 = 194.219.136.200/30
S110 = 194.219.136.236/30
S111 = 194.219.144.240/29
S112 = 194.219.145.248/30
S113 = 194.219.146.96/27
S114 = 194.219.146.240/28
S115 = 194.219.153.48/29
S116 = 194.219.153.116/30
S117 = 194.219.153.184/30
S118 = 194.219.170.64/30
S119 = 194.219.170.104/30
S120 = 194.219.170.164/30
S121 = 194.219.184.0/22
S122 = 212.251.21.76/30
S123 = 212.251.21.252/30
S124 = 212.251.22.0/30
S125 = 212.251.22.108/30
S126 = 212.251.22.224/29
S127 = 212.251.22.240/30
S128 = 212.251.22.244/30
S129 = 212.251.30.4/30
S130 = 212.251.35.248/30
S131 = 212.251.36.96/29
S132 = 212.251.36.228/30
S133 = 212.251.42.120/30
S134 = 212.251.42.124/30
S135 = 212.251.42.128/28
S136 = 212.251.49.32/27
S137 = 212.251.49.248/29
S138 = 212.251.59.20/30
S139 = 212.251.59.36/30
S140 = 212.251.59.96/28
S141 = 212.251.75.8/30
S142 = 212.251.90.16/30
S143 = 212.251.90.52/30
S144 = 212.251.90.60/30
S145 = 212.251.90.64/30
S146 = 212.251.90.136/29
S147 = 212.251.90.236/30
S148 = 212.251.95.52/30
S149 = 213.16.128.28/30
S150 = 213.16.128.32/27
S151 = 213.16.128.72/30
S152 = 213.16.128.160/30
S153 = 213.16.128.184/30
S154 = 213.16.128.248/30
S155 = 213.16.129.0/29
S156 = 213.16.136.200/30
S157 = 213.16.136.216/30
S158 = 194.219.136.204/30
S159 = 212.251.56.160/30
S160 = 193.92.13.144/29
S161 = 193.92.132.192/29
S162 = 212.251.75.60/30
S163 = 194.219.71.80/30
S164 = 62.1.34.0/23
S165 = 62.1.80.0/21
S166 = 62.1.192.0/21
S167 = 193.92.32.0/22
S168 = 193.92.64.0/21
S169 = 193.92.75.128/25
S170 = 193.92.77.204/30
S171 = 193.92.78.0/24
S172 = 193.92.104.0/23
S173 = 193.92.131.112/28
S174 = 193.92.136.0/21
S175 = 193.92.148.96/27
S176 = 193.92.159.128/25
S177 = 193.92.176.0/21
S178 = 193.92.240.0/20
S179 = 194.219.7.0/26
S180 = 194.219.19.0/24
S181 = 194.219.26.0/23
S182 = 194.219.108.96/28
S183 = 194.219.109.192/28
