--- About the graph ---
Total of vertices (all kinds): 1916
Hypothetic vertices: 355 / 1916 (18.528184%)
Subnet vertices: 949 / 1916 (49.530271%)
Known subnet vertices: 594 / 949 (62.592202%)

--- Subnet mappings ---
S1 = 64.86.113.40/31
S2 = 195.219.50.48/31
S3 = 180.87.140.16/30
S4 = 195.219.50.121/32
S5 = 195.219.50.166/31
S6 = 195.219.50.134/31
S7 = 195.219.50.172/30
S8 = 195.219.87.16/31
S9 = 195.219.50.8/30
S10 = 195.219.50.20/31
S11 = 80.231.13.44/31
S12 = 80.231.14.73/32
S13 = 80.231.12.26/31
S14 = 80.231.14.75/32
S15 = 80.231.14.247/32
S16 = 80.231.15.130/31
S17 = 195.219.183.8/30
S18 = 195.219.148.104/29
S19 = 195.219.183.114/31
S20 = 195.219.183.118/31
S21 = 195.219.183.150/31
S22 = 194.45.52.72/30
S23 = 195.219.39.0/28
S24 = 195.219.60.32/29
S25 = 195.219.87.20/30
S26 = 195.219.87.28/31
S27 = 195.219.87.30/31
S28 = 195.219.87.100/31
S29 = 195.219.87.104/31
S30 = 195.219.87.106/31
S31 = 195.219.87.150/31
S32 = 195.219.87.160/30
S33 = 195.219.87.172/31
S34 = 195.219.134.0/30
S35 = 195.219.87.102/31
S36 = 195.219.156.132/31
S37 = 80.231.153.88/31
S38 = 195.219.87.92/30
S39 = 195.219.87.32/29
S40 = 195.219.87.192/30
S41 = 195.219.87.88/32
S42 = 195.219.87.124/30
S43 = 195.219.134.72/30
S44 = 5.23.6.8/29
S45 = 195.219.50.12/30
S46 = 195.219.156.20/30
S47 = 195.219.156.72/29
S48 = 195.219.156.96/30
S49 = 195.219.156.224/31
S50 = 63.243.205.12/31
S51 = 195.219.87.0/30
S52 = 195.219.194.40/29
S53 = 64.86.226.56/31
S54 = 5.23.30.20/31
S55 = 195.219.156.100/30
S56 = 195.219.156.32/30
S57 = 5.23.30.16/31
S58 = 80.231.18.10/31
S59 = 209.58.86.24/30
S60 = 209.58.86.188/31
S61 = 209.58.86.192/30
S62 = 209.58.93.0/28
S63 = 63.243.251.0/31
S64 = 209.58.86.142/31
S65 = 63.243.250.12/30
S66 = 63.243.250.132/30
S67 = 63.243.251.16/30
S68 = 209.58.93.20/30
S69 = 63.243.250.144/30
S70 = 66.110.59.8/31
S71 = 64.86.197.32/27
S72 = 66.110.59.242/31
S73 = 64.86.152.20/31
S74 = 64.86.197.4/30
S75 = 116.0.76.130/31
S76 = 120.29.195.18/31
S77 = 116.0.76.160/31
S78 = 120.29.219.8/31
S79 = 120.29.219.10/31
S80 = 120.29.219.98/31
S81 = 120.29.219.72/30
S82 = 120.29.195.0/30
S83 = 70.34.62.136/31
S84 = 70.34.62.140/31
S85 = 180.87.29.18/31
S86 = 180.87.29.128/29
S87 = 180.87.189.2/31
S88 = 180.87.189.128/31
S89 = 180.87.189.131/32
S90 = 116.0.67.32/31
S91 = 120.29.211.2/31
S92 = 120.29.217.66/32
S93 = 120.29.217.20/30
S94 = 180.87.155.4/30
S95 = 180.87.180.0/30
S96 = 180.87.180.56/29
S97 = 180.87.32.2/31
S98 = 116.0.68.52/30
S99 = 180.87.95.18/31
S100 = 116.0.68.64/30
S101 = 180.87.77.16/30
S102 = 180.87.155.10/31
S103 = 43.241.41.4/31
S104 = 120.29.217.8/30
S105 = 180.87.32.4/31
S106 = 180.87.181.92/31
S107 = 180.87.181.44/30
S108 = 116.0.91.16/28
S109 = 120.29.217.124/30
S110 = 180.87.95.38/31
S111 = 180.87.32.12/30
S112 = 180.87.154.30/31
S113 = 80.231.50.8/29
S114 = 80.231.84.48/30
S115 = 195.219.194.32/30
S116 = 195.219.194.212/31
S117 = 195.219.194.218/31
S118 = 80.231.153.48/30
S119 = 195.219.194.4/30
S120 = 80.231.111.20/30
S121 = 80.231.154.44/30
S122 = 80.231.154.108/30
S123 = 80.231.131.0/30
S124 = 80.231.154.172/30
S125 = 80.231.154.60/31
S126 = 80.231.154.208/31
S127 = 80.231.130.12/30
S128 = 80.231.130.16/30
S129 = 80.231.130.48/30
S130 = 80.231.130.56/30
S131 = 195.219.81.16/31
S132 = 80.231.130.132/30
S133 = 80.231.130.108/31
S134 = 80.231.199.0/30
S135 = 80.231.130.24/30
S136 = 216.6.87.42/31
S137 = 63.243.216.22/31
S138 = 80.231.130.110/31
S139 = 80.231.130.60/30
S140 = 80.231.130.128/30
S141 = 80.231.130.92/31
S142 = 80.231.48.28/30
S143 = 80.231.130.112/30
S144 = 80.231.130.140/30
S145 = 80.231.130.46/31
S146 = 195.219.9.8/30
S147 = 195.219.9.16/30
S148 = 195.219.9.20/30
S149 = 195.219.9.32/30
S150 = 195.219.9.80/28
S151 = 195.219.81.0/29
S152 = 195.219.81.56/30
S153 = 195.219.101.36/30
S154 = 195.219.81.116/31
S155 = 195.219.81.112/30
S156 = 195.219.250.68/30
S157 = 195.219.250.100/30
S158 = 195.219.8.68/30
S159 = 80.231.199.56/30
S160 = 80.231.199.64/26
S161 = 80.231.199.128/26
S162 = 80.231.223.132/30
S163 = 80.231.229.8/31
S164 = 80.231.229.32/30
S165 = 80.231.229.36/30
S166 = 80.231.229.124/30
S167 = 80.231.229.136/29
S168 = 80.231.230.192/28
S169 = 80.231.131.44/30
S170 = 80.231.131.56/30
S171 = 80.231.131.80/30
S172 = 80.231.131.204/30
S173 = 195.219.142.56/30
S174 = 63.243.128.36/30
S175 = 80.231.131.116/30
S176 = 80.231.131.144/28
S177 = 64.86.232.192/29
S178 = 80.231.131.36/31
S179 = 80.231.131.20/31
S180 = 63.243.128.12/30
S181 = 63.243.128.108/30
S182 = 63.243.128.160/31
S183 = 63.243.128.92/30
S184 = 63.243.128.28/31
S185 = 63.243.128.56/31
S186 = 64.86.228.24/30
S187 = 64.86.228.66/31
S188 = 216.6.33.32/31
S189 = 216.6.33.148/30
S190 = 63.243.205.0/30
S191 = 63.243.205.128/31
S192 = 64.86.21.12/30
S193 = 64.86.21.64/29
S194 = 64.86.21.100/30
S195 = 64.86.21.208/30
S196 = 64.86.21.0/30
S197 = 66.198.127.0/30
S198 = 64.86.248.4/31
S199 = 64.86.248.32/31
S200 = 66.198.16.36/32
S201 = 80.231.62.152/30
S202 = 195.219.13.36/31
S203 = 80.231.58.4/31
S204 = 80.231.62.36/30
S205 = 63.243.186.20/30
S206 = 66.110.96.4/30
S207 = 216.6.81.28/31
S208 = 206.82.141.164/30
S209 = 63.243.129.8/30
S210 = 66.110.48.0/30
S211 = 64.86.79.0/30
S212 = 66.110.44.28/30
S213 = 66.110.44.38/31
S214 = 66.110.44.48/31
S215 = 63.243.172.48/30
S216 = 64.86.33.88/30
S217 = 64.86.79.4/31
S218 = 207.45.206.0/31
S219 = 64.86.124.4/31
S220 = 207.45.206.92/30
S221 = 64.86.123.92/31
S222 = 64.86.123.192/30
S223 = 64.86.123.200/31
S224 = 64.86.123.228/30
S225 = 80.231.58.36/30
S226 = 80.231.58.40/30
S227 = 195.219.5.8/30
S228 = 195.219.5.32/28
S229 = 209.58.18.24/29
S230 = 216.6.90.16/28
S231 = 64.86.226.20/30
S232 = 64.86.243.128/25
S233 = 66.198.83.80/29
S234 = 216.6.114.0/24
S235 = 216.6.115.88/30
S236 = 199.202.50.128/30
S237 = 64.86.226.32/30
S238 = 206.82.135.72/30
S239 = 64.86.31.28/31
S240 = 64.86.31.26/31
S241 = 63.243.153.24/30
S242 = 66.198.96.88/29
S243 = 64.86.141.0/26
S244 = 199.202.45.0/25
S245 = 209.58.18.0/28
S246 = 216.6.90.72/31
S247 = 66.198.182.32/30
S248 = 66.198.182.56/30
S249 = 209.58.75.144/30
S250 = 209.58.75.196/30
S251 = 209.58.75.212/30
S252 = 209.58.75.220/30
S253 = 209.58.75.112/30
S254 = 209.58.75.216/30
S255 = 66.198.182.46/31
S256 = 64.86.62.28/30
S257 = 64.86.62.56/30
S258 = 66.110.40.32/30
S259 = 66.198.182.0/30
S260 = 209.58.75.180/30
S261 = 209.58.76.4/30
S262 = 64.86.62.32/29
S263 = 66.198.183.40/31
S264 = 64.86.232.204/30
S265 = 80.231.14.132/31
S266 = 80.231.138.4/31
S267 = 80.231.138.40/30
S268 = 80.231.138.44/30
S269 = 80.231.138.12/31
S270 = 80.231.158.28/30
S271 = 80.231.15.240/31
S272 = 195.219.129.12/30
S273 = 80.231.158.4/30
S274 = 80.231.159.56/30
S275 = 80.231.159.84/30
S276 = 80.231.159.88/30
S277 = 80.231.159.108/30
S278 = 195.219.32.208/30
S279 = 195.219.129.36/30
S280 = 64.86.248.12/30
S281 = 66.198.70.64/30
S282 = 66.198.70.92/31
S283 = 216.6.57.32/29
S284 = 216.6.57.8/30
S285 = 216.6.57.4/30
S286 = 66.198.70.60/31
S287 = 66.110.40.228/31
S288 = 66.198.111.200/30
S289 = 66.198.111.140/30
S290 = 216.6.87.36/30
S291 = 216.6.87.72/29
S292 = 216.6.87.140/30
S293 = 216.6.87.0/30
S294 = 216.6.87.110/31
S295 = 216.6.87.144/30
S296 = 216.6.87.20/31
S297 = 63.243.236.4/31
S298 = 66.198.154.130/31
S299 = 66.198.154.204/30
S300 = 66.198.155.16/29
S301 = 66.198.154.176/30
S302 = 64.86.85.0/30
