--- About the graph ---
Total of vertices (all kinds): 2432
Hypothetic vertices: 455 / 2432 (18.708882%)
Subnet vertices: 1223 / 2432 (50.287829%)
Known subnet vertices: 768 / 1223 (62.796402%)

--- Subnet mappings ---
S1 = 195.2.21.132/30
S2 = 195.2.8.44/30
S3 = 195.2.16.132/30
S4 = 195.2.8.88/30
S5 = 195.89.117.168/30
S6 = 195.2.30.188/30
S7 = 195.2.10.80/30
S8 = 195.2.31.12/30
S9 = 217.161.75.80/29
S10 = 195.2.24.124/30
S11 = 195.2.24.128/30
S12 = 195.2.9.96/30
S13 = 195.2.24.32/30
S14 = 195.2.24.240/30
S15 = 195.2.28.168/29
S16 = 195.2.31.0/30
S17 = 195.2.9.40/30
S18 = 195.2.8.232/30
S19 = 195.2.21.8/29
S20 = 195.2.3.128/30
S21 = 195.2.21.208/30
S22 = 195.59.188.0/23
S23 = 195.2.3.148/30
S24 = 195.2.3.144/30
S25 = 195.2.18.128/30
S26 = 195.2.4.32/30
S27 = 217.135.10.128/31
S28 = 217.135.10.148/31
S29 = 217.135.10.140/31
S30 = 217.135.10.132/31
S31 = 217.135.10.142/31
S32 = 217.135.20.208/29
S33 = 195.2.31.76/30
S34 = 217.161.76.64/29
S35 = 217.161.76.192/29
S36 = 217.161.93.72/29
S37 = 195.2.25.60/30
S38 = 195.89.101.164/30
S39 = 195.2.27.164/30
S40 = 195.2.24.68/30
S41 = 217.161.76.224/29
S42 = 166.63.211.140/30
S43 = 166.63.213.128/26
S44 = 166.63.214.224/30
S45 = 166.63.216.88/30
S46 = 166.63.217.8/30
S47 = 195.59.223.60/30
S48 = 195.59.223.80/30
S49 = 195.59.245.88/30
S50 = 195.59.246.244/30
S51 = 195.89.81.16/30
S52 = 195.89.96.88/30
S53 = 195.89.106.28/30
S54 = 195.89.110.32/28
S55 = 195.89.110.96/30
S56 = 195.89.112.248/30
S57 = 195.89.116.48/30
S58 = 195.89.117.116/30
S59 = 195.89.122.156/30
S60 = 217.161.73.8/30
S61 = 217.161.73.76/30
S62 = 217.161.73.168/29
S63 = 217.161.74.8/29
S64 = 217.161.74.68/30
S65 = 217.161.74.200/30
S66 = 217.161.75.112/29
S67 = 217.161.75.128/29
S68 = 217.161.75.160/29
S69 = 217.161.75.168/29
S70 = 217.161.75.192/29
S71 = 217.161.75.232/29
S72 = 217.161.75.248/29
S73 = 217.161.76.24/29
S74 = 217.161.76.56/29
S75 = 217.161.76.120/29
S76 = 217.161.76.142/31
S77 = 217.161.76.152/29
S78 = 217.161.77.184/29
S79 = 217.161.77.208/29
S80 = 217.161.78.0/29
S81 = 217.161.78.180/30
S82 = 217.161.79.120/30
S83 = 217.161.83.92/30
S84 = 217.161.85.144/30
S85 = 217.161.88.128/29
S86 = 217.161.92.180/30
S87 = 217.161.94.110/31
S88 = 217.161.94.142/31
S89 = 217.161.82.32/30
S90 = 195.89.97.112/30
S91 = 195.89.118.180/30
S92 = 195.89.115.124/30
