--- About the graph ---
Total of vertices (all kinds): 4734
Hypothetic vertices: 932 / 4734 (19.687368%)
Subnet vertices: 2364 / 4734 (49.936629%)
Known subnet vertices: 1432 / 2364 (60.575296%)

--- Subnet mappings ---
S1 = 147.30.110.0/23
S2 = 147.30.112.0/24
S3 = 147.30.113.216/30
S4 = 178.88.118.146/31
S5 = 178.88.119.40/30
S6 = 178.88.160.144/29
S7 = 178.88.160.36/30
S8 = 178.88.174.232/30
S9 = 178.88.174.236/30
S10 = 178.88.175.8/29
S11 = 178.88.184.112/30
S12 = 178.88.184.94/31
S13 = 178.88.64.128/29
S14 = 178.88.70.216/30
S15 = 178.88.70.244/30
S16 = 178.89.0.182/31
S17 = 178.89.1.164/30
S18 = 178.89.106.237/32
S19 = 178.89.110.192/29
S20 = 178.89.110.204/30
S21 = 178.89.110.216/30
S22 = 178.89.184.192/28
S23 = 178.89.233.196/30
S24 = 178.89.234.108/30
S25 = 178.89.234.184/30
S26 = 178.89.7.150/31
S27 = 178.89.7.160/31
S28 = 178.90.136.16/31
S29 = 178.90.136.18/31
S30 = 178.90.136.2/31
S31 = 178.90.136.204/30
S32 = 178.90.136.220/30
S33 = 178.90.136.56/30
S34 = 178.90.137.108/30
S35 = 178.90.137.112/30
S36 = 178.90.137.124/30
S37 = 178.90.137.200/30
S38 = 178.90.137.72/29
S39 = 178.90.137.80/30
S40 = 178.90.137.84/30
S41 = 178.90.137.92/30
S42 = 178.90.137.96/30
S43 = 178.90.222.200/30
S44 = 178.90.222.208/30
S45 = 178.90.223.92/30
S46 = 178.91.232.128/29
S47 = 178.91.255.250/31
S48 = 178.91.29.144/28
S49 = 178.91.29.224/29
S50 = 178.91.29.232/29
S51 = 178.91.31.112/30
S52 = 178.91.31.12/31
S53 = 178.91.31.160/31
S54 = 178.91.31.168/31
S55 = 178.91.31.200/30
S56 = 178.91.31.204/30
S57 = 178.91.48.64/30
S58 = 178.91.48.68/30
S59 = 178.91.48.72/30
S60 = 178.91.50.240/30
S61 = 178.91.51.136/30
S62 = 178.91.94.208/30
S63 = 178.91.95.120/29
S64 = 178.91.95.136/30
S65 = 178.91.95.140/30
S66 = 178.91.96.160/28
S67 = 178.91.96.176/28
S68 = 178.91.96.192/29
S69 = 178.91.96.224/29
S70 = 178.91.97.0/30
S71 = 178.91.97.128/30
S72 = 178.91.97.32/30
S73 = 185.125.80.0/20
S74 = 2.132.248.128/30
S75 = 2.132.248.216/29
S76 = 2.132.248.8/31
S77 = 2.132.249.124/30
S78 = 2.132.249.184/31
S79 = 2.132.249.224/31
S80 = 2.132.249.228/30
S81 = 2.132.250.52/30
S82 = 2.132.255.0/25
S83 = 2.132.71.0/26
S84 = 2.133.128.168/30
S85 = 2.133.129.128/30
S86 = 2.133.131.128/30
S87 = 2.133.131.164/30
S88 = 2.133.153.96/28
S89 = 2.133.235.80/30
S90 = 2.133.92.8/30
S91 = 2.133.93.104/29
S92 = 2.133.93.120/29
S93 = 2.133.93.224/30
S94 = 2.133.93.24/30
S95 = 2.133.93.8/30
S96 = 2.133.95.242/31
S97 = 2.133.95.52/30
S98 = 2.133.95.72/30
S99 = 2.134.61.82/31
S100 = 2.135.184.88/30
S101 = 2.135.20.216/30
S102 = 2.135.20.24/30
S103 = 2.135.21.228/30
S104 = 2.135.216.120/30
S105 = 2.135.216.128/30
S106 = 2.135.216.16/28
S107 = 2.135.216.184/29
S108 = 2.135.216.44/30
S109 = 2.135.216.64/28
S110 = 2.135.217.12/30
S111 = 2.135.217.160/28
S112 = 2.135.217.176/29
S113 = 2.135.217.200/29
S114 = 2.135.217.224/28
S115 = 2.135.217.40/29
S116 = 2.135.217.96/30
S117 = 2.135.218.100/31
S118 = 2.135.218.108/30
S119 = 2.135.218.132/31
S120 = 2.135.218.148/30
S121 = 2.135.218.152/29
S122 = 2.135.218.204/30
S123 = 2.135.218.212/30
S124 = 2.135.218.80/29
S125 = 2.135.218.96/30
S126 = 2.135.219.144/29
S127 = 2.135.219.156/30
S128 = 2.135.219.184/29
S129 = 2.135.219.212/30
S130 = 2.135.219.240/30
S131 = 2.135.219.28/30
S132 = 2.135.22.248/29
S133 = 2.135.220.144/28
S134 = 2.135.220.184/31
S135 = 2.135.220.188/30
S136 = 2.135.221.128/29
S137 = 2.135.221.36/30
S138 = 2.135.223.110/31
S139 = 2.135.223.140/30
S140 = 2.135.223.168/30
S141 = 2.135.23.176/28
S142 = 2.135.23.192/30
S143 = 2.135.23.200/29
S144 = 2.135.236.108/31
S145 = 2.135.236.196/30
S146 = 2.135.236.200/30
S147 = 2.135.236.212/30
S148 = 2.135.236.216/30
S149 = 2.135.236.32/30
S150 = 2.135.236.44/31
S151 = 2.135.239.104/31
S152 = 2.135.239.208/29
S153 = 2.135.240.104/30
S154 = 2.135.240.224/29
S155 = 2.135.240.24/29
S156 = 2.135.240.32/30
S157 = 2.135.240.36/30
S158 = 2.135.241.172/31
S159 = 2.135.241.208/30
S160 = 2.135.241.212/30
S161 = 2.135.241.232/29
S162 = 2.135.241.48/30
S163 = 2.135.242.160/29
S164 = 2.135.242.32/30
S165 = 2.135.242.48/30
S166 = 2.135.242.76/30
S167 = 2.135.242.80/30
S168 = 2.135.242.84/31
S169 = 2.135.243.228/31
S170 = 2.135.243.244/30
S171 = 2.135.244.84/30
S172 = 2.135.245.140/30
S173 = 2.135.245.144/30
S174 = 2.135.246.12/30
S175 = 2.135.246.136/30
S176 = 2.135.246.148/30
S177 = 2.135.246.152/30
S178 = 2.135.247.132/30
S179 = 2.135.247.140/31
S180 = 2.135.247.176/30
S181 = 2.135.247.180/31
S182 = 2.135.247.184/30
S183 = 2.135.247.188/30
S184 = 2.135.247.200/30
S185 = 2.135.247.36/30
S186 = 2.135.247.64/30
S187 = 2.135.51.32/27
S188 = 2.135.80.176/30
S189 = 2.135.84.0/22
S190 = 212.154.128.104/30
S191 = 212.154.128.28/30
S192 = 212.154.128.84/30
S193 = 212.154.143.192/29
S194 = 212.154.163.156/30
S195 = 212.154.163.28/30
S196 = 212.154.168.186/31
S197 = 212.154.170.208/29
S198 = 212.154.176.204/30
S199 = 212.154.182.180/30
S200 = 212.154.183.90/31
S201 = 212.154.184.110/31
S202 = 212.154.186.36/30
S203 = 212.154.187.70/31
S204 = 212.154.187.72/30
S205 = 212.154.195.96/29
S206 = 212.154.197.156/30
S207 = 212.154.206.152/30
S208 = 212.154.209.100/30
S209 = 212.154.209.32/28
S210 = 212.154.209.48/30
S211 = 212.154.210.200/30
