--- About the graph ---
Total of vertices (all kinds): 1751
Hypothetic vertices: 262 / 1751 (14.962878%)
Subnet vertices: 867 / 1751 (49.514563%)
Known subnet vertices: 605 / 867 (69.780854%)

--- Subnet mappings ---
S1 = 103.21.80.0/27
S2 = 116.0.66.64/28
S3 = 116.0.67.0/30
S4 = 116.0.67.148/30
S5 = 116.0.67.180/30
S6 = 116.0.67.32/30
S7 = 116.0.67.36/30
S8 = 116.0.67.86/31
S9 = 116.0.67.98/31
S10 = 116.0.68.52/30
S11 = 116.0.68.64/30
S12 = 116.0.71.0/26
S13 = 116.0.71.192/31
S14 = 116.0.71.194/31
S15 = 116.0.76.128/31
S16 = 116.0.76.130/31
S17 = 116.0.76.144/28
S18 = 116.0.76.160/31
S19 = 116.0.82.26/32
S20 = 116.0.82.63/32
S21 = 116.0.85.24/30
S22 = 116.0.85.8/30
S23 = 116.0.88.44/30
S24 = 116.0.90.20/31
S25 = 116.0.90.24/30
S26 = 116.0.93.136/32
S27 = 116.0.93.160/31
S28 = 116.0.93.20/31
S29 = 116.0.93.240/30
S30 = 120.29.193.0/30
S31 = 120.29.193.12/30
S32 = 120.29.193.16/30
S33 = 120.29.195.0/30
S34 = 120.29.195.18/31
S35 = 120.29.197.83/32
S36 = 120.29.207.16/30
S37 = 120.29.207.20/30
S38 = 120.29.207.8/30
S39 = 120.29.211.2/31
S40 = 120.29.214.62/31
S41 = 120.29.215.176/30
S42 = 120.29.215.32/30
S43 = 120.29.215.36/31
S44 = 120.29.216.36/30
S45 = 120.29.217.124/30
S46 = 120.29.217.20/30
S47 = 120.29.217.66/31
S48 = 120.29.217.8/30
S49 = 120.29.219.10/31
S50 = 120.29.219.80/30
S51 = 138.104.226.0/29
S52 = 180.87.112.140/30
S53 = 180.87.112.176/30
S54 = 180.87.112.193/32
S55 = 180.87.112.194/31
S56 = 180.87.12.0/30
S57 = 180.87.12.168/29
S58 = 180.87.12.44/31
S59 = 180.87.124.128/29
S60 = 180.87.126.0/30
S61 = 180.87.126.8/30
S62 = 180.87.128.28/30
S63 = 180.87.130.26/31
S64 = 180.87.130.80/31
S65 = 180.87.130.84/30
S66 = 180.87.130.96/30
S67 = 180.87.136.16/28
S68 = 180.87.136.160/29
S69 = 180.87.136.180/31
S70 = 180.87.136.182/31
S71 = 180.87.136.190/31
S72 = 180.87.136.84/30
S73 = 180.87.140.16/29
S74 = 180.87.140.44/30
S75 = 180.87.140.8/29
S76 = 180.87.141.120/30
S77 = 180.87.141.64/28
S78 = 180.87.15.210/31
S79 = 180.87.15.220/30
S80 = 180.87.15.236/31
S81 = 180.87.15.24/30
S82 = 180.87.15.52/30
S83 = 180.87.15.64/31
S84 = 180.87.15.82/31
S85 = 180.87.152.164/30
S86 = 180.87.154.28/30
S87 = 180.87.16.64/27
S88 = 180.87.160.132/30
S89 = 180.87.160.201/32
